tour_id,title,overview
1,코스테이,
3,가나아트센터,"
                    1983년에 개관한 가나아트갤러리는 국내외 3백여 회의 기획전시 및 대규모 국제미술전 참가를 비롯한 미술문화의 발전과 미술 국제화를 위한 갤러리
                "
4,가나안경원 명동2호점,"
                    저희 페이지를 방문해주셔서 대단히 감사드립니다. 최고의 안경전문가 친절, 신뢰를 바탕으로고객여러분의 마음에 감동을 선사해드리는명동의 최고 안경원 가나안경원을 소개합니다. 고객여러분의 안보건향상을 위하여취향과 조건에 맞는 안경테 안경렌즈를 선택해드림으로써고객님의 만족과 감동에 더 가까이 다가설 것을 약속드립니다. 폭넓은 안건강관련 정보 수집을 통해 보다 나은서비스를 제공하는데 최선을 다하겠습니다. 고객여러분의 소중한 선택 현명한 선택이여러분의 소중한 시력을 지키는데 가나안경원이 함께 견인차 역할을 해드릴것입니다.꼭!! 방문해 보십시오.*감사합니다*
                "
5,가든파이브,"
                    매머드급 미래형 문화 복합단지, 가든파이브라이프 센트럴파크
                "
6,가락관광호텔,
7,가락 농수산물종합도매시장 가락청과물도매시장,
8,가람화랑,"
                    전문 미술인이 경영하며, 형상미술을 위주로 하는 작가들을 중심으로 기획전과 초대전을 개최하는 화랑
                "
10,가로수스테이게스트하우스,"
                    유럽형 게스트하우스
                "
11,가마목,
12,가문애족발,
1,코스테이,
3,가나아트센터,"
                    1983년에 개관한 가나아트갤러리는 국내외 3백여 회의 기획전시 및 대규모 국제미술전 참가를 비롯한 미술문화의 발전과 미술 국제화를 위한 갤러리
                "
4,가나안경원 명동2호점,"
                    저희 페이지를 방문해주셔서 대단히 감사드립니다. 최고의 안경전문가 친절, 신뢰를 바탕으로고객여러분의 마음에 감동을 선사해드리는명동의 최고 안경원 가나안경원을 소개합니다. 고객여러분의 안보건향상을 위하여취향과 조건에 맞는 안경테 안경렌즈를 선택해드림으로써고객님의 만족과 감동에 더 가까이 다가설 것을 약속드립니다. 폭넓은 안건강관련 정보 수집을 통해 보다 나은서비스를 제공하는데 최선을 다하겠습니다. 고객여러분의 소중한 선택 현명한 선택이여러분의 소중한 시력을 지키는데 가나안경원이 함께 견인차 역할을 해드릴것입니다.꼭!! 방문해 보십시오.*감사합니다*
                "
5,가든파이브,"
                    매머드급 미래형 문화 복합단지, 가든파이브라이프 센트럴파크
                "
6,가락관광호텔,
7,가락 농수산물종합도매시장 가락청과물도매시장,
8,가람화랑,"
                    전문 미술인이 경영하며, 형상미술을 위주로 하는 작가들을 중심으로 기획전과 초대전을 개최하는 화랑
                "
10,가로수스테이게스트하우스,"
                    유럽형 게스트하우스
                "
11,가마목,
12,가문애족발,
13,가시리 본점,
14,가쯔야,"
                    일본전통돈가스 전문점
                "
15,가톨릭대학교 성신교정도서관,
16,가회민화박물관,"
                    250여 점의 민화와 750점의 부적, 150점의 전적류 및 기타 민속자료 250여 점 등 총 1,500여점의 유물 소장
                "
18,갈산근린공원,
19,감꽃당,
20,감로암,"
                    대한불교 조계종 감로암절
                "
22,압구정로데오거리,
