,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
0,1,21,30,44,9,2.3942,3,104,2020/10/14 14:02
1,2,26,41,53,14,2.4104,3,134,2020/10/14 14:02
2,3,12,5,1,0,1.3889,1,18,2020/10/14 14:02
3,4,15,32,89,22,2.7468,3,158,2020/10/14 14:02
4,5,46,43,54,10,2.183,3,153,2020/10/14 14:02
5,6,43,23,54,7,2.1969,3,127,2020/10/14 14:02
6,7,55,18,43,6,2.0,1,122,2020/10/14 14:02
7,8,4,34,103,23,2.8841,3,164,2020/10/14 14:02
8,9,46,22,51,15,2.2612,3,134,2020/10/14 14:02
9,10,34,25,43,16,2.3475,3,118,2020/10/14 14:02
10,11,12,42,118,27,2.804,3,199,2020/10/14 14:02
11,12,11,14,45,12,2.7073,3,82,2020/10/14 14:02
12,13,4,17,39,7,2.7313,3,67,2020/10/14 14:02
13,14,14,44,116,29,2.7882,3,203,2020/10/14 14:02
14,15,3,22,25,4,2.5556,3,54,2020/10/14 14:02
15,16,7,30,44,7,2.5795,3,88,2020/10/14 14:02
16,17,6,20,78,25,2.9457,3,129,2020/10/14 14:02
17,18,23,33,56,3,2.3391,3,115,2020/10/14 14:02
18,19,4,31,109,27,2.9298,3,171,2020/10/14 14:02
19,20,4,16,56,22,2.9796,3,98,2020/10/14 14:02
20,21,11,26,100,30,2.8922,3,167,2020/10/14 14:02
21,22,13,29,55,21,2.7119,3,118,2020/10/14 14:02
22,23,28,29,58,14,2.4496,3,129,2020/10/14 14:02
23,24,43,20,43,7,2.1239,1,113,2020/10/14 14:02
24,25,20,30,37,17,2.4904,3,104,2020/10/14 14:02
25,26,0,15,49,16,3.0125,3,80,2020/10/14 14:02
26,27,9,32,58,19,2.7373,3,118,2020/10/14 14:02
27,28,10,25,44,15,2.6809,3,94,2020/10/14 14:02
28,29,14,30,56,24,2.7258,3,124,2020/10/14 14:02
29,30,4,22,47,1,2.6081,3,74,2020/10/14 14:02
30,31,13,32,38,3,2.3605,3,86,2020/10/14 14:02
31,32,45,21,34,5,1.9905,1,105,2020/10/14 14:02
32,33,48,19,35,2,1.9135,1,104,2020/10/14 14:02
33,34,5,10,34,10,2.8305,3,59,2020/10/14 14:02
34,35,14,63,90,17,2.5978,3,184,2020/10/14 14:02
35,36,43,9,0,0,1.1731,1,52,2020/10/14 14:02
36,37,6,10,63,17,2.9479,3,96,2020/10/14 14:02
37,38,13,33,102,23,2.7895,3,171,2020/10/14 14:02
38,39,46,42,43,14,2.1724,1,145,2020/10/14 14:02
39,40,4,34,103,23,2.8841,3,164,2020/10/14 14:02
40,41,13,22,50,13,2.6429,3,98,2020/10/14 14:02
41,42,17,40,100,24,2.7238,3,181,2020/10/14 14:02
42,43,19,14,34,6,2.3699,3,73,2020/10/14 14:02
