tour_id,title,comments,ratings,date
6392,부천시립북부도서관,엘리베이터가 잇었으면 좋겠습니다.,2,2020.02.02
6392,부천시립북부도서관,최고예요,5,2018.08.23
6392,부천시립북부도서관,과거는 인정....현재는 긍정.....미래는 열정  출처: 백현사주학당,5,2017.06.28
6393,부천시립심곡도서관,엘리베이터가 있었으면 좋겠습니다. 여기도서관은 엘리베이터가 없습니다. 그리고 한울빛도서관 역곡도서관 보다는 별로입니다.,1,2019.12.06
6393,부천시립심곡도서관,열람실 덥다 춥다는 글 보이는데 올 봄부터 가고있는 제가 느끼기엔 온도관리 잘 되고 있습니다. 8월도 안 더웠어요. 딱 적당히 온도유지 되고있구요. 언덕에 있어서 가기 힘들긴 하나 책 넣은 배낭 메고 올라가면 운동되고 좋네요. 주변에 먹을곳이 마땅치 않아서 4점이요ㅜ.ㅜ,4,2019.09.02
6393,부천시립심곡도서관,겨울엔 춥고 여름엔 덥고 오래되서 시설도 나쁘고 집뒤에 있지만 안갑니다,1,2019.08.08
6393,부천시립심곡도서관,뭔가 분위가 어수선한 느낌 잘 정리도 안되있는 것 같았어요 북부도서관이 낫습니다,1,2018.03.26
6393,부천시립심곡도서관,고태찬란한 역사성 도서관이네  전시에는 요새로 이용해도 좋을듯 직원도 친절하시고 공기좋고,5,2018.10.21
6393,부천시립심곡도서관,"당연히 시설이 부천 중앙 도서관보다 안 좋지, 부천에서 가장 큰 중앙 도서관 생기기 수십년 전 부천 유일무이하게 제일 먼저 생겨난 아주 오랜된 도서관이니까 ,,,하지만 그 역사성이 좋다, 수리만 잘하면 된다고 본다.계속 그 디자인의 도서관 유지하고 좀더 바램이 있다면 좀더 땅 확보해서 도서관 별관 하나 더 만들었으면 좋겠다 불만은 매점 가격이 지나치게 비싸",5,2017.08.21
6393,부천시립심곡도서관,역세권이지만 언덕 위에 있어서 가기 너무 힘듭니다. 인테리어는 파놉티콘 같은 구조라서 웬지 모르게 불쾌한 데다가 썩 깔끔하지도 않았습니다. 책은 많습니다. 그렇지만 부천시민이라면 상호대차 서비스를 이용해서 다른 도서관에서 장서를 받아보기를 권합니다.,1,2015.01.04
6393,부천시립심곡도서관,시설 정말 구리네요 천장에서 물이 떨어지질않나 히터도 껐다켰다를 몇번이나 하는지 추워서 실내에서도 두꺼운 외투를 입고 있어요 무선인터넷은 보안걸어놔서 자기들끼리 쓰겠다는건지 영 불편하네요,1,2013.11.23
6394,부천시립원미도서관,최고예요,5,2020.02.21
6394,부천시립원미도서관,봉사활동은 할만하지 않아요 이렇게 쓰면 누군지 알겠지만 덕분에 시간잘못 입력하셔서 봉사장학금을 못 받았어요,1,2019.07.08
6394,부천시립원미도서관,식당 퀄리티가 너무떨어집니다 바뀌기전 식당이 훨신 좋았습니다 6시에 저녁먹으러가면 재료없어서 못먹습니다,2,2019.07.08
6394,부천시립원미도서관,3층에 나무로 된 칸막이 탁자로 되어있던 열람실이  현대식 개방형 열람실로 바뀌었어요 기존의 열람실에 비하면 정말 엄청난 발전이 됐습니다 콘센트하나 없던 열람실에서 카페처럼 주변에 콘센트가 많이 있고 전등도 좋아졌고 시설이 깨끗해졌습니다. 좌석이 여러종류라서 각자 스타일에 맞게 공부 할 수있습니다. 마치 대학교 열람실 같은느낌이네요. 기존에 칸막이 열람실은...,3,2019.06.18
6394,부천시립원미도서관,공부가 잘됩니다,5,2018.09.16
6396,부천식물원,쉴수있는 곳,5,2020.10.12
6396,부천식물원,보통이에요,3,2020.06.05
6396,부천식물원,좋아요,4,2017.10.15
6396,부천식물원,좋아요,4,2016.04.19
6396,부천식물원,식물원,0,2016.01.20
6396,부천식물원,부천자연생태공원 튤립축제,0,2015.04.26
6396,부천식물원,튤립축제,0,2014.04.26
6396,부천식물원,식물전시관과 그린도서실,0,2013.04.12
6396,부천식물원,부천식물원이라고 하여 와봤습니다만. 시설 수준이 너무 낮습니다. 거의 초등학생용이네요.,1,2018.11.24
6396,부천식물원,뎃글보니까 설마 시간당 8500원은 아니겠죠? 공원은 원래 무료였는데 언제 부터인가 1000원을 받더라고요 이게 무슨 시민 공원이에요?? 무료일때 정말 즐겁게 갔는데...부천이 부자시아닌가요? 이런식으로까지 돈을 벌려고...,1,2018.02.14
6396,부천식물원,부천식물원 개인소유가아닌 부천시 시설 관리공단 에서   운영하는거 아닌가요 학생들유치하면서 타고온 버스 주차비용을 시간당 계산해서 8500원 씩이나 물게하고 학생들 유치하려고 합니까   이건모 주차비로 돈벌려는 속셈이네 서울보다 주차비를 비싸게 밭고 버스주차장 이라고 해바야 고작 버스10정도 주차할수있는공간 만들어놓구 버스기사들 등골 빼먹는 부천식물원   ,1,2017.05.16
6397,부천아트벙커B39,쓰레기소각장을 개조한 카페라 입구에 들어서면 공장인가 싶어 당황스럽지만 좀 더 안쪽으로 들어오면 넓직한 카페가 있다 커피 등 음료외에 식사도 할 수 있지만 가격이 좀 사악한게 흠 청포도 소다 추천,3,2020.07.11
6397,부천아트벙커B39,장소 분위기 다 좋은데 음침하게 쳐다보는 이상한 아저씨들 왔다갔다하고 영업 마감시간도 안됐는데 컵을 치우겠다는 카페 직원분이 인상깊었습니다,1,2020.06.02
6397,부천아트벙커B39,좋아요,4,2020.05.30
6397,부천아트벙커B39,"볼거리뿐 아니라 커피, 파스타 마저도 수준급인 문화공간입니다 파스타 꼭 드세요 ! 사진이 없는건, 먹자마자 너무 순식간에 사라짐 ;; 면이 딱 맞는 알덴테 ! ",5,2020.02.18
6397,부천아트벙커B39,최고예요,5,2019.11.30
6397,부천아트벙커B39,최고임니다,4,2019.05.24
6397,부천아트벙커B39,최고예요,5,2019.03.20
6397,부천아트벙커B39,좋아요,4,2019.01.03
6397,부천아트벙커B39,최고예요,5,2018.10.28
6398,부천자연생태공원,"부천자연생태공원 재개원 매달 마지막 주 수요일, 문화가 있는 날 입장무료. ",5,2020.10.27
6398,부천자연생태공원,여러분 코로나때문에 잠정 휴관중이에요,3,2020.07.17
6398,부천자연생태공원,넓고 잘 꾸며져있었어요~ 핑크뮬리가 있을 줄이야! 근데 이용하는 사람들의 무개념에 핑크뮬리가 병들어가고 있었어요. 이용객들의 무개념도 문제지만.. 평소에 쌓인게 많으신지.. 관리하시는 분들이 다 까칠하시더라구요. 굳이 안해도 될 말을 막 하시구.. 주차장 매표소 화단.. 가는 곳마다 좀 눈살이 찌뿌려졌어요. 관리하시는 분들이 조금만 친절하시면 좋겠어요. ,3,2019.10.10
6398,부천자연생태공원,부천시민의식이 보이는 동네,2,2019.06.30
6398,부천자연생태공원,아기자기하고 잘꾸며놨는데 화장실이 청소가 잘 안되며 여기오는사람들 쓰레기를 화장실에 엄청버리고가서  더러웠음 쓰레기를 못버리게 확실히막던가  쓰레기를 잘치우던가 관리를 잘 못하는거 같음,4,2018.05.05
6398,부천자연생태공원,ㅇ 시설 : 보통  ㅇ 공원운영을 엉터리로 하고 있음.       10월9일 방문하였는데. .       부천의 모 단체에서 시낭송 한다고      현수막 걸어 놓고는. .        대형스피커에 대중가요 틀고 놓고      무대에서 단체로 춤추고. . 난리를      치고 있음. .              유로로 비용까지 지불하며      자연의 벗삼으...,1,2017.10.09
6398,부천자연생태공원,보통이에요,3,2016.06.13
6400,부흥가든,맛있는 곳이긴 한데 주차 친절 웨이팅 생각하면 재방은 안할듯 살짝 매운 것 때문에 호불호 있음,3,2020.05.14
6400,부흥가든,"우선 가격대비 맛은 그저그렇고 식당에서는  메뉴를 고를 선택의 여지가 없었습니다 점심메뉴는 무조건 만두전골 대,중,소, 에서 골라야하고 다른메뉴는 안된다는 어처구니없는 답변을 들어야만했고 사장을 비룻한 종업원들의 불친절한 태도에 다른손님들도 불평과 불만을 토해내더군요 ",1,2020.01.04
6400,부흥가든,사람 줄서있는데 갑자기 재료 떨어졌다고하면 어떻게합니까. 앞에 소진이라고 붙여두든 뒷사람에게 말씀좀해달라고 부탁하든 해둬야죠. 저희 앞에분들은 더 오래 기다리신거 같은데 정말 실망입니다. 다신 안올것깉습니다. ,1,2020.01.02
6400,부흥가든,해물만두,5,2019.10.12
