tour_id,title,comments,ratings,date
18508,태권도공원 전망대,최고예요,5,2017.08.02
18508,태권도공원 전망대,보통이에요,3,2016.08.06
18508,태권도공원 전망대,"태권도원(跆拳道园)은 대한민국 국기 태권도의 수련과 교육, 연구를 위한 태권도 전문 공간이다.(출처위키). 세금이 어떻게 쓰이는지 알수있음.. 여의도 면적의 절반...",0,2014.09.10
18512,태흥갈비,흠..굳이?,2,2020.07.27
18512,태흥갈비,육사시미 & 부채살 된장샤브샤브.,3,2020.03.15
18512,태흥갈비,명품된장 샤브샤브,4,2019.08.13
18512,태흥갈비,고기는 괜찮았으나 그 이외에 모든것이 불만족 스러움. 함께 갔던 사람 모두 입을 모아 이야기함. 두번은 안 올 곳임.,1,2019.05.12
18512,태흥갈비,날이 더워 갈비를 먹자해도 애들이 냉면먹자해서 냉면을 시켰습니다. 10분뒤에 단체가 오니 우리가 앉은 자리로와서 자리를 비켜줘야겠다고 하네요 얼른 먹고 간다고 하니 일어나라면서 더 좋은 자리 준다고 뒷방 쾌쾌한 방으로 보냅니다  우리는 메뉴에 있는 음식을 먹었고 아이들을 데리고 갔어도 1인1식 시켰습니다 초등고학년들이라 얌전히 앉아 있었구요  냉면맛은 이미...,1,2019.05.12
18512,태흥갈비,갈비 맛있어요. 복분자냉면은 그냥 냉면이랑 비슷한 맛인데 뭔가 색다른 느낌이 좋아요.,4,2018.05.21
18512,태흥갈비,"초심을 잃음... 정성, 맛, 친절함 모두 부족",1,2018.05.04
18512,태흥갈비,복분자 냉면 식감이 재미(?)있음. 양념갈비는 적당함,3,2016.08.21
18512,태흥갈비,ㅡㅡ 서비스가 영..... 아이들을 데리고 가면 안좋아하시나봐요 상 차림을 걱정하시고... 대답도 안하시고 다들 무표정에.. 먹다체하겠어요 ㅜ,1,2018.11.04
18512,태흥갈비,아이가 있어 깨끗한 집을 찾았지만 정말 성의없는 서빙과 운영으로 맛도 기분도 망치는 집임~ 여행중엔 절대가면 기분망침~,1,2018.11.04
18512,태흥갈비,좋아요,5,2017.09.22
18512,태흥갈비,고창의 맛집.. 확실해요!,5,2017.06.04
18512,태흥갈비,최고예요,5,2017.04.30
18512,태흥갈비,왜 안망하는지 이해가 안됨 맛은 전혀..ㅠㅠ,1,2017.01.29
18512,태흥갈비,고기맛은 평이했고 종업원은 불친절하진 않았지만 성의가 없었으며 가격은 비싼편이었음...,2,2016.12.06
18512,태흥갈비,최고예요,5,2016.08.31
18512,태흥갈비,불 친절의  끝판왕,1,2016.08.28
18512,태흥갈비,최고예요,5,2016.05.06
18512,태흥갈비,"정말 가격대비 만족도가 쩌는 곳입니다.........돼지갈비, 생고기 모두 맛있는 가게....... 맞은편 마트에서 파는 과일도 싸고 좋습니다.",5,2015.02.11
18513,테마모텔,최고예요,5,2020.04.22
18513,테마모텔,여사장님 항상 친절해서 좋아요,5,2018.02.17
18514,토배기산장,풀장이 있음  시원한 계곡은 아니지만 애들이 안전하게 놀만한 곳 물이 많이 깨끗하진 않음 편상비 따로 없고 고기 주류를 반입할경우 만원을 받는다 함 백숙 리뷰날짜기준 한마리반이 7만원이었음,3,2017.08.06
18514,토배기산장,더워 사람많아 짜증나,0,2013.08.11
18514,토배기산장,위봉폭포를 지나면 나오는 경치좋은 이곳 저에겐 좋은 추억이 머문곳이네요~ 추천 합니다,5,2017.01.11
18514,토배기산장,배짱 장사 너무 심합니다그리고 식당앞 계곡물도 더러워서 같이간 애들이 다 눈병걸렸네요,1,2016.08.08
18516,토비스콘도 지리산점,안경끼고 스포츠머리 점장이라던데ㅡ지점대표하는 사람이 참...시골 민박집 주인이 백배는 친절하겠네ㅡ 주차할때도없네ㅡ점장은 입구에서 담배만 피우네ㅡ 데스크에 사람이 없네ㅡ문의는 어디다하나ㅡ다신 안오지.,1,2016.08.02
18516,토비스콘도 지리산점,"주차공간이없어서 지하로가려보니 만차봉이 있어서 돌다가 지하빈차선이 보여서 차에서 내려 가 보았는데 , 20년다된차 한대있네요.차는 3대 더 주차할수있는데 왜 만차봉으로 못내려가게 막아놨는지 어이가 없네요",1,2016.07.29
18516,토비스콘도 지리산점,주위 민박집이 훨씬 괜찮을듯.데스크에  사람없음.전화도  안받음.,1,2016.07.16
18516,토비스콘도 지리산점,"지리산토비스 2번 다시 안 갈겁니다. 1. 주차장 협소로 100m 떨어진 둘레길 주차장 주차 2. 선불 요구(입실 후 이유 알게됨) 3. 이불, 베개 냄새 엄청남. 머리카락 투성이, 베개 얼룩, 먼지 투성이  4. 드라이기, 샴푸, 바디워시 없음 5. 방청소 후 흰수건이 검정 수건으로 변함.청결성 꽝 6. 수저통, 포크 곰팡이 투성이 7. 방에 벌레 투성이",1,2014.08.22
18517,토옥동계곡,최고예요,5,2020.05.04
18517,토옥동계곡,좋아요,4,2016.04.02
18518,토향촌,"양념게장: 18,000원, 꽃게장: 20,000원 간장게장이 신선하고 맛있음 꽃게장도 맛있었지만 너무 달았음 된장찌게, 김치 등 전반적으로 맛있었음 ",4,2020.04.04
18518,토향촌,음식이 나쁘지는 않았으나 군산 최고의 간장게장집은 아닌것 같네요. 개인적으로 군산 최고는 전에 군산대 근처 궁X간장게장이었는데 아쉽게도 없어졌죠. 가장 실망한 요인은 저녁 7시 안되서 갔는데 여사장님이 미리 전화안하고 왔다가 짜증을 되게 티나게 내시네요. 그냥 '담부터 전화주시면 좋겠어요' 가 아닌 '담에는 전화부터해' 라는 식으로 두번이나 얘기함. 외지인...,1,2020.03.16
18522,올림포스호텔,위치는 참 좋은데 상태가 그리 좋지 않습니다. 특히 화장실 청소상태. 근대건축물인데 참 아쉽습니다. 부디 리모델링 제대로 하셔서 인천의 상징으로 만들어주시길.,2,2018.09.22
18522,올림포스호텔,엄청 큰 바X벌레 시체가 객실에 있었습니다. ,2,2017.10.11
18522,올림포스호텔,할일이 산더민데 여기서 모하고 있는거지?ㅋ,0,2013.12.12
18522,올림포스호텔,바베큐파튀...^^괜찮습디다...^^,0,2013.08.15
18522,올림포스호텔,깨끗하긴 한데 정수기도 없고 200미리 물병하나 주고2000원짜리 물 사먹으라합니다수도꼭지 고장나 샤워기능 안되고요가격은 비싸고 기분만 상하네요,1,2017.04.02
18522,올림포스호텔,"옛날에 오림프스호텔이 맞는지요,,?유화열씨가 대표였는데 지금은 다른사람인지요..?",5,2016.06.12
18527,팔복예술공장,최고예요,5,2020.08.11
18527,팔복예술공장,써니까페 널찍하고 좋아요 카페라떼 양 많고 맛있는편이에요 아기음료 천원에 팔아요,5,2020.03.11
18527,팔복예술공장,폐공장을 예술공간으로 만들어놓았어요~! 근데 모르는 전주시민분들이 많은것같아요ㅠㅠ 활성화되면 좋겠어요,5,2019.09.24
18527,팔복예술공장,좋아요,4,2019.04.21
18529,팔팔삼계탕,맛있는데 운정식당 보다 국물이 깔끔함,5,2020.06.04
18529,팔팔삼계탕,좋아요,4,2017.06.16
18529,팔팔삼계탕,,0,2013.08.13
